,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/15/2014,Siena,L 7 - 12,7,4,11,26,18,8,23,2,90,"3,600",12,11,17,23,0.739
1,02/22/2014,@ Cornell,L 8 - 12,8,3,11,24,16,4,24,4,150,"3,600",12,18,19,23,0.826
2,03/01/2014,Binghamton,L 10 - 11 (1OT),10,4,14,44,23,13,25,3,150,"3,837",11,12,15,16,0.938
3,03/04/2014,@ Colgate,L 5 - 7,5,1,6,22,11,5,16,4,180,"3,600",7,10,12,19,0.632
4,03/08/2014,"Brown @ Hempstead, NY",L 10 - 13,10,6,16,34,20,7,27,6,360,"3,600",13,12,9,10,0.900
5,03/11/2014,@ Canisius,W 11 - 10 (1OT),11,2,13,41,21,9,25,3,120,"3,797",10,11,19,21,0.905
6,03/15/2014,Robert Morris,W 8 - 6,8,4,12,29,18,12,19,2,90,"3,600",6,12,19,22,0.864
7,03/22/2014,@ Bryant,L 8 - 15,8,3,11,31,17,5,27,4,180,"3,600",15,11,17,22,0.773
8,03/29/2014,@ Mt. St. Mary's,W 8 - 5,8,3,11,25,15,3,16,3,180,"3,600",5,10,20,23,0.870
9,04/05/2014,Sacred Heart,L 9 - 10,9,5,14,37,19,15,21,1,60,"3,600",10,6,18,21,0.857
10,04/11/2014,@ Wagner,W 15 - 6,15,12/,27,36,28,16,24,4,210,"3,600",6,9,13,17,0.765
11,04/19/2014,Syracuse,L 9 - 15,9,5,14,32,16,11,26,3,150,"3,600",15,11,9,14,0.643
12,04/26/2014,Saint Joseph's,L 8 - 15,8,1,9,35,25,15,25,3,120,"3,600",15,9,10,15,0.667
13,05/01/2014,@ Saint Joseph's,W 10 - 9 (2OT),10,5,15,34,17,11,22,3,120,"3,938",9,17,19,21,0.905
14,05/03/2014,"Bryant @ Philadelphia, Pa.",L 4 - 10,4,2,6,27,19,3,18,5,300,"3,600",10,10,21,21,1.000/
