,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/01/2014,Lehigh,L 6 - 13,6,3,9,15,12,9,23,3,90,"3,600",13,12,11,14,0.786
1,02/09/2014,North Carolina,L 3 - 19,3,2,5,20,11,9,25,1,30,"3,600",19,16,10,14,0.714
2,02/15/2014,@ Air Force,L 6 - 15,6,5,11,32,18,14,24,1,60,"3,600",15,6,10,15,0.667
3,02/22/2014,"Army West Point @ Washington, D.C.",L 2 - 12,2,1,3,18,8,8,18,7,270,"3,582",12,13,17,21,0.810
4,03/01/2014,@ Bellarmine,L 7 - 13,7,4,11,35,13,10,23,4,150,"3,600",13,10,12,17,0.706
5,03/08/2014,Michigan,L 9 - 11,9,6,15,37,19,13,23,4,210,"3,600",11,12,19,22,0.864
6,03/11/2014,@ Georgetown,L 9 - 16,9,6,15,35,23,9,29,1,60,"3,600",16,19,19,23,0.826
7,03/18/2014,Duke,L 4 - 19,4,4,37,14,27,16,27,2,60,"3,600",19,10,20,21,0.952
8,03/29/2014,High Point,L 7 - 15,7,3,10,38,21,9,25,2,60,"3,600",15,12,15,17,0.882
9,04/05/2014,Richmond,L 10 - 13,10,5,15,27,18,20,27,4,180,"3,600",13,14,16,20,0.800
10,04/12/2014,@ VMI,W 13 - 12 (2OT),13,8,21,40,22,25/,31,4,150,"3,896",12,7,13,16,0.812
11,04/19/2014,@ Mercer,L 8 - 9,8,2,10,47,22,9,21,6,240,"3,600",9,14,15,15,1.000/
12,04/26/2014,Jacksonville,L 11 - 13,11,4,15,50/,31,21,27,2,90,"3,600",13,5,17,21,0.810
