,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,@ Richmond,L 5 - 9,5,2,7,41,20,14,18,3,180,"3,600",9,11,10,19,0.526
1,02/14/2015,High Point,W 12 - 11,12,5,17,34,26,15,26,5,210,"3,600",11,10,13,13,1.000/
2,02/17/2015,Penn,L 10 - 11 (1OT),10,1,11,32,22,14,25,3,90,"3,789",11,6,10,12,0.833
3,02/25/2015,@ VMI,W 11 - 3,11,7,18,41,31,8,16,2,60,"3,600",3,12,14,15,0.933
4,03/03/2015,@ Drexel,L 7 - 11,7,2,9,32,12,7,22,3,120,"3,600",11,9,11,12,0.917
5,03/07/2015,Monmouth,W 9 - 2,9,4,13,32,24,11,15,3,150,"3,600",2,14,15,17,0.882
6,03/10/2015,@ Virginia,L 14 - 15,14,6,20,47,27,14,32,3,120,"3,600",15,7,15,17,0.882
7,03/14/2015,Michigan,L 8 - 9 (4OT),8,4,12,49,26,10,24,5,150,"4,490/",9,12,22,23,0.957
8,03/21/2015,@ Delaware,W 14 - 6,14,9,23,42,24,17,24,3,150,"3,600",6,4,14,17,0.824
9,03/29/2015,@ Bryant,W 8 - 7,8,5,13,29,17,4,18,7,330,"3,600",7,6,11,12,0.917
10,04/04/2015,Robert Morris,W 18 - 11,18,16/,34/,40,29,13,32,9,360,"3,600",11,18,17,22,0.773
11,04/07/2015,Wagner,W 14 - 3,14,11,25,44,33,10,21,2,90,"3,600",3,6,18,19,0.947
12,04/11/2015,@ Mt. St. Mary's,W 16 - 4,16,6,22,46,24,18,24,3,150,"3,600",4,12,16,17,0.941
13,04/18/2015,Hobart and William Smith,W 7 - 6 (1OT),7,4,11,57/,29,6,9,12,17,"3,722",6,9,14,15,0.933
14,04/25/2015,@ Sacred Heart,W 13 - 8,13,9,22,36,22,14,23,7,330,"3,600",8,6,13,13,1.000/
15,04/30/2015,Mt. St. Mary's,W 10 - 4,10,6,16,37,22,8,18,4,180,"3,600",4,12,16,16,1.000/
16,05/02/2015,Bryant,L 6 - 10,6,5,11,36,17,3,20,4,210,"3,600",10,8,13,14,0.929
