,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/21/2015,Quinnipiac,W 17 - 6,17,11,28,60,33,19,26,2,120,"3,600",6,16,22,24,0.917
1,02/28/2015,@ Massachusetts,W 18 - 12,18,10,28,41,29,20,32,9/,390,"3,600",12,8,17,21,0.810
2,03/04/2015,@ Hartford,W 17 - 8,17,8,25,48,29,14,28,5,240,"3,600",8,12,22,23,0.957
3,03/08/2015,@ Michigan,W 22 - 12,22/,12,34,68/,34,23,38,3,150,"3,600",12,15,22,25,0.880
4,03/14/2015,Harvard,W 14 - 9,14,6,20,53,31,17,27,5,270,"3,600",9,9,27,30,0.900
5,03/17/2015,Bucknell,L 9 - 10 (1OT),9,6,15,38,21,20,10,15,23,"3,705",10,11,17,22,0.773
6,03/21/2015,Manhattan,W 22 - 9,22/,16,38/,56,36/,23,34,5,210,"3,600",9,7,22,27,0.815
7,03/24/2015,Marist,W 16 - 15 (1OT),16,9,25,62,29,21,35,3,180,"3,674",15,9,21,23,0.913
8,03/29/2015,@ Princeton,W 10 - 8,10,7,17,45,25,12,21,4,150,"3,600",8,15,16,17,0.941
9,04/04/2015,Penn,L 11 - 14,11,6,17,51,28,14,29,5,240,"3,600",14,15,15,20,0.750
10,04/11/2015,@ Yale,L 10 - 16,10,7,17,40,18,13,28,6,300,"3,600",16,10,16,20,0.800
11,04/14/2015,@ Providence,W 15 - 11,15,11,26,46,36/,17,29,5,180,"3,600",11,13,10,12,0.833
12,04/18/2015,Cornell,W 15 - 6,15,13,28,41,25,13,24,2,60,"3,600",6,21,20,24,0.833
13,04/21/2015,@ Bryant,W 9 - 8,9,3,12,40,24,9,21,6,300,"3,600",8,10,17,19,0.895
14,04/25/2015,@ Dartmouth,W 17 - 8,17,8,25,42,25,15,29,3,150,"3,600",8,15,22,24,0.917
15,05/01/2015,Yale,L 6 - 10,6,2,8,28,15,16,4,16,20,"3,600",10,8,23,25,0.920
16,05/10/2015,@ Denver,L 9 - 15,9,4,13,49,25,16,28,3,150,"3,600",15,9,12,13,0.923
